paper1000,Fry_C
paper1121,Campbell_P
paper1121,Dale_M
paper1121,Ferra_H
paper1121,Kowalczyk_A
paper1122,Bolouri_H
paper1122,Dixon_L
paper1122,Ferguson_A
paper1122,Kaye_P
paper1122,Sabisch._T
paper1123,Fukumura_N
paper1123,Tani_J
paper1124,Coelho_J
paper1124,Grupen_R
paper1124,Sitaramen_R
paper1125,Jordan_M
paper1125,Meila_M
paper1126,Annaswamy_A
paper1126,Yu_S
paper1127,Barto_A
paper1127,Crites_R
paper1128,Dietterich_T
paper1128,Zhang_W
paper1129,Jackson_G
paper1129,Murray_A
paper112,Linsker_R
paper1130,Sutton_R
paper1131,Roy_B
paper1131,Tsitsiklis_J
paper1132,Gordon_G
paper1133,Dayan_P
paper1133,Singh_S
paper1134,Moore_A
paper1134,Schneider_J
paper1135,Doya_K
paper1136,Jordan_M
paper1136,Sabes_P
paper1137,Barto_A
paper1137,Callan_J
paper1137,Papka_R
paper1138,Blair_A
paper1138,Pollack_J
paper1139,Dayan_P
paper1139,Riesenhuber_M
paper113,Gluck_M
paper113,Parker_D
paper113,Reifsnider_E
paper1140,Attias_H
paper1140,Schreiner_C
paper1141,Bair_W
paper1141,Cavanaugh_J
paper1141,Movshon_J
paper1142,Bricolo_E
paper1142,Logothetis_N
paper1142,Poggio_T
paper1143,Dayan_P
paper1144,Ferree_T
paper1144,Lockery_S
paper1144,Marcotte_B
paper1145,Gabbiani_F
paper1145,Koch_C
paper1145,Metznet_W
paper1145,Wessel_R
paper1146,Li_Z
paper1147,Deco_G
paper1147,Laskey_K
paper1147,Martignon_L
paper1147,Vaadia_E
paper1148,Archie_K
paper1148,Mel_B
paper1148,Ruderman_D
paper1149,Fanst_U
paper1149,Geisel_T
paper1149,Pawelzik_K
paper1149,Wolf_F
paper114,Leung_H
paper114,Zue_V
paper1150,Pouget_A
paper1150,Zhang_K
paper1151,Bisio_G
paper1151,Sabatini_S
paper1151,Solari_F
paper1152,Bartels_A
paper1152,Sejnowski_T
paper1152,Tang_A
paper1153,Siapas_A
paper1153,Somers_D
paper1153,Todorov_E
paper1154,Amari_S
paper1155,Bartlett_P
paper1156,Bos_S
paper1156,Opper_M
paper1157,Brightwell_G
paper1157,Kenyon_C
paper1157,Paugam-Moisy_H
paper1158,Burges_C
paper1158,Dmcker_H
paper1158,Kaufman_L
paper1158,Smola_A
paper1158,Vapnik_V
paper1159,Elisseeff_A
paper1159,Paugam-Moisy_H
paper115,Waibel_A
paper1160,Halkjaer_S
paper1160,Winther_O
paper1161,Heskes_T
paper1162,Kang_K
paper1162,Oh_J
paper1163,Ferni_H
paper1163,Kowalczyk_A
paper1164,Krzyzak_A
paper1164,Linder_T
paper1165,Littlestone_N
paper1165,Mesterharm_C
paper1166,Maass_W
paper1167,Maass_W
paper1167,Orponen_P
paper1168,Opper_M
paper1168,Winther_O
paper1169,Orr_G
paper116,Bengio_Y
paper116,Cardin_R
paper116,Cosi_P
paper116,De-Mori_R
paper1170,Parberry_I
paper1170,Tseng_H
paper1171,Noda_H
paper1171,Peper_F
paper1172,Morciniec_M
paper1172,Rohwer_R
paper1173,Saad_D
paper1173,Solla_S
paper1174,Jordan_M
paper1174,Saul_L
paper1175,Barber_D
paper1175,Sollich_P
paper1176,Golowich_S
paper1176,Smola_A
paper1176,Vapnik_V
paper1177,Nabney_I
paper1177,Saad_D
paper1177,West_A
paper1178,Williams_C
paper1179,Wong_K
paper117,Komura_M
paper117,Tanaka_A
paper1180,Adler_R
paper1180,Meir_R
paper1180,Zeevi_A
paper1181,Baluja_S
paper1182,Baram_Y
paper1183,Barber_D
paper1183,Bishop_C
paper1184,Barber_D
paper1184,Williams_C
paper1185,Bishop_C
paper1185,Qazaz_C
paper1186,Bishop_C
paper1186,Svensen_M
paper1186,Williams_C
paper1187,Blake_A
paper1187,Isard_M
paper1188,Bradley_P
paper1188,Mangasarian_O
paper1188,Street_W
paper1189,Burges_C
paper1189,Scholkopf_B
paper118,Smythe_E
paper1190,Burgess_A
paper1191,Caruana_R
paper1191,de-Sa_V
paper1192,Chatterjee_C
paper1192,Roychowdhury_V
paper1193,Clouse_D
paper1193,Cottrell_G
paper1193,Giles_C
paper1193,Horne_B
paper1194,Coetzee_F
paper1194,Stonick_V
paper1195,Cohn_D
paper1196,de-Bonet_J
paper1196,Isbell_C
paper1196,Viola_P
paper1197,Dunmur_A
paper1197,Titterington_D
paper1198,Finch_A
paper1198,Hancock_E
paper1198,Wilson_R
paper1199,Flexer_A
paper119,Bradshaw_G
paper119,Ceci_L
paper119,Fozzard_R
paper11,Banik_J
paper11,Bower_J
paper11,Wong_Y
paper1200,Frey_B
paper1201,Finke_M
paper1201,Fritsch_J
paper1201,Waibel_A
paper1202,Heskes_T
paper1203,Hochreiter_S
paper1203,Schmidhuber_J
paper1204,Hyvarinen_A
paper1204,Oja_E
paper1205,Jaakkola_T
paper1205,Jordan_M
paper1206,Ji_C
paper1206,Ma_S
paper1207,Ghahramani_Z
paper1207,Jordan_M
paper1207,Saul_L
paper1208,Kamimura_R
paper1209,Lee_D
paper1209,Seung_H
paper120,Goodman_R
paper120,Miller_J
paper120,Smyth_P
paper1210,Hornik_K
paper1210,Leiseh_F
paper1211,Lewicki_M
paper1211,Sejnowski_T
paper1212,Cowan_J
paper1212,Grier_D
paper1212,Lin_J
paper1213,Lowe_D
paper1213,Tipping_M
paper1214,Mathieson_M
paper1215,Jordan_M
paper1215,Meila_M
paper1216,Merz_C
paper1216,Pazzani_M
paper1217,Miller_D
paper1217,Uyar_H
paper1218,Cooper_G
paper1218,Monti_S
paper1219,Moody_J
paper1219,Rognvaldsson_T
paper121,Naillon_M
paper121,Theeten_J
paper1220,Munro_P
paper1220,Parmanto_B
paper1221,Amari_S
paper1221,Milllet_K
paper1221,Mumta_N
paper1221,Ziehe_A
paper1222,Leen_T
paper1222,Orr_G
paper1223,Parra_L
paper1223,Pearlmutter_B
paper1224,Gold_S
paper1224,Mjolsness_E
paper1224,Rangarajan_A
paper1224,Yuille_A
paper1225,Nakano_R
paper1225,Saito_K
paper1226,Abu-Mostafa_Y
paper1226,Sill_J
paper1227,Singer_Y
paper1227,Warmuth_M
paper1228,Smyth_P
paper1229,Riedmiller_M
paper1229,Stahlberger_A
paper122,Aazhang_B
paper122,Orsak_G
paper122,Paris_B
paper122,Varanasi_M
paper1230,Freeman_W
paper1230,Tenenbaum_J
paper1231,Neuneier_R
paper1231,Tresp_V
paper1231,Zimmermann_H
paper1232,Dayan_P
paper1232,Pouget_A
paper1232,Zemel_R
paper1233,Apsel_A
paper1233,Etienne-Cummings_R
paper1233,Mueller_P
paper1233,Takahashi_N
paper1233,VanderSpiegel_J
paper1234,Hiffiiger_P
paper1234,Mahowald_M
paper1234,Watts_L
paper1235,Chiang_Y
paper1235,Harris_J
paper1236,DeWeerth_S
paper1236,Horiuchi_T
paper1236,Koch_C
paper1236,Morris_T
paper1237,Iizuka_K
paper1237,Matsui_H
paper1237,Miyamoto_M
paper1238,Hasler_P
paper1238,Koch_C
paper1238,Kruger_W
paper1238,Minch_B
paper1239,Lazzaro_J
paper1239,Lippmann_R
paper1239,Wawrzynek_J
paper123,Ahalt_S
paper123,Garber_F
paper123,Jouny_I
paper123,Krishnamurthy_A
paper1240,Cauwenberghs_G
paper1240,Edwards_R
paper1240,Pineda_F
paper1241,Fragniere_E
paper1241,van-Schaik_A
paper1241,Vittoz_E
paper1242,Gray_M
paper1242,Movellan_J
paper1242,Sejnowski_T
paper1243,Bell_A
paper1243,Lambert_R
paper1243,Lee_T
paper1244,Matic_N
paper1244,Platt_J
paper1245,Neukirchen_C
paper1245,Rigoll_G
paper1246,Robel_A
paper1247,Sona_D
paper1247,Sperduti_A
paper1247,Starita_A
paper1248,Nelson_A
paper1248,Wan_E
paper1249,Cook_G
paper1249,Waterhouse_S
paper124,Cunningham_R
paper124,Seibert_M
paper124,Waxman_A
paper124,Wu_J
paper1250,Lyon_R
paper1250,Webb_B
paper1250,Yaeger_L
paper1251,Bartlett_M
paper1251,Sejnowski_T
paper1252,Becker_S
paper1253,Bell_A
paper1253,Sejnowski_T
paper1254,Bienenstock_E
paper1254,Geman_S
paper1254,Potter_D
paper1255,Bregler_C
paper1255,Malik_J
paper1256,Cowan_J
paper1256,Dimitrov_A
paper1257,Dong_D
paper1258,Gray_M
paper1258,Nowlan_S
paper1258,Pouget_A
paper1258,Sejnowski_T
paper1258,Zemel_R
paper1259,Grossberg_S
paper1259,Williamson_J
paper125,Hurlbert_A
paper125,Poggio_T
paper1260,Hancock_E
paper1260,Leite_J
paper1261,Cowan_J
paper1261,Dimitrov_A
paper1261,Mundel_T
paper1262,Cottrell_G
paper1262,Padgett_C
paper1263,Gautrals_J
paper1263,Thorpe_S
paper1264,Weiss_Y
paper1265,Finkel_L
paper1265,Yen_S
paper1266,Abramowicz_H
paper1266,Horn_D
paper1266,Naftaly_U
paper1266,Sahar-Pikielny_C
paper1267,Brown_T
paper1268,Cohn_D
paper1268,Singh_S
paper1269,Bengio_Y
paper1269,Ghosn_J
paper126,Pomerleau_D
paper1270,Dodier_R
paper1270,Mozer_M
paper1270,Vidmar_L
paper1271,Niranjan_M
paper1272,Band_P
paper1272,Bert_J
paper1272,Grace_J
paper1272,Plate_T
paper1273,Bertsekas_D
paper1273,Singh_S
paper1274,Ghosh_J
paper1274,Ramanujam_N
paper1274,Richards-Kortum_R
paper1274,Tumer_K
paper1275,Bone_D
paper1275,Wan_E
paper1276,Moody_J
paper1276,Wu_L
paper1277,Davies_S
paper1278,Doya_K
paper1279,Barto_A
paper1279,Duff_M
paper127,Alvelda_P
paper127,SanMartin_A
paper1280,Barto_A
paper1280,Hansen_E
paper1280,Zilberstein_S
paper1281,Pareigis_S
paper1282,Schaal_S
paper1283,Schneider_J
paper1284,Dayan_P
paper1284,Singh_S
paper1285,Sejnowski_T
paper1285,Stensmo_M
paper1286,Galperin_G
paper1286,Tesauro_G
paper1287,Tsitsiklis_J
paper1287,van-Roy_B
paper1288,Tsitsiklis_J
paper1288,van-Roy_B
paper1289,Baird_B
paper128,Baird_H
paper128,Denker_J
paper128,Gardner_W
paper128,Graf_H
paper128,Guyon_I
paper128,Henderson_D
paper128,Howard_R
paper128,Hubbard_W
paper128,Jackel_L
paper1290,Cohen_E
paper1290,Ruppin_E
paper1291,Cottrell_G
paper1291,Dailey_M
paper1292,Deneve_S
paper1292,Pouget_A
paper1293,Hadden_L
paper1294,Houde_J
paper1294,Jordan_M
paper1295,Foltz_P
paper1295,Laham_D
paper1295,Landauer_T
paper1296,Horn_D
paper1296,Levy_N
paper1296,Ruppin_E
paper1297,Cottrell_G
paper1297,Milostan_J
paper1298,Farah_M
paper1298,Mozer_M
paper1298,Sitton_M
paper1299,McClelland_J
paper1299,Norman_K
paper1299,O'Reilly_R
paper129,Mori_Y
paper129,Yokosawa_K
paper12,Bower_J
paper12,Wilson_M
paper1300,Rao_R
paper1301,Rodriguez_P
paper1301,Wiles_J
paper1302,Jabd_M
paper1302,Latimer_C
paper1302,Schenkel_M
paper1303,Attias_H
paper1303,Schreiner_C
paper1304,Berry_M
paper1304,Meister_M
paper1305,Dayan_P
paper1305,Long_T
paper1306,deCharms_R
paper1306,Merzenich_M
paper1307,deCharms_R
paper1307,de-Sa_V
paper1307,Merzenich_M
paper1308,Anastasio_T
paper1308,Dow_F
paper1309,Dayan_P
paper1309,Foster_D
paper1309,Morris_R
paper130,Goodman_J
paper130,Mighell_D
paper130,Wilkinson_T
paper1310,Goodhill_G
paper1311,Goodhill_G
paper1312,Brody_C
paper1312,Hopfield_J
paper1312,Roweis_S
paper1313,Braun_J
paper1313,Itti_L
paper1313,Koch_C
paper1313,Lee_D
paper1314,Kvale_M
paper1314,Schreiner_C
paper1315,Lumer_E
paper1316,Maass_W
paper1316,Zador_A
paper1317,Koch_C
paper1317,Manwani_A
paper1318,Archie_K
paper1318,Mel_B
paper1318,Ruderman_D
paper1319,Poggio_T
paper1319,Riesenhuber_M
paper131,Mel_B
paper1320,Andersen_R
paper1320,Pezaris_J
paper1320,Sahani_M
paper1321,Hamalainen_M
paper1321,Hari_R
paper1321,Jousmaki_V
paper1321,Oja_E
paper1321,Vigario_R
paper1322,Gallant_J
paper1322,Vinje_W
paper1323,Bartlett_P
paper1323,Baxter_J
paper1324,Bohossian_V
paper1324,Bruck_J
paper1325,Bartlett_P
paper1325,Golea_M
paper1325,Lee_W
paper1325,Mason_L
paper1326,Heskes_T
paper1327,Hyvarinen_A
paper1328,Kappen_H
paper1328,Rodriguez_F
paper1329,Kivinen_J
paper1329,Warmuth_M
paper132,Goldberg_K
paper132,Pearlmutter_B
paper1330,Koistinen_P
paper1331,Leen_T
paper1331,Saad_D
paper1331,Schottky_B
paper1332,Meir_R
paper1333,Kanter_I
paper1333,Kessler_D
paper1333,Priel_A
paper1334,Rattray_M
paper1334,Saad_D
paper1335,Hopfield_J
paper1335,Lagarias_J
paper1335,Richardson_T
paper1335,Seung_H
paper1336,Cristianini_N
paper1336,Shawe-Taylor_J
paper1337,Scholkopf_B
paper1337,Smola_A
paper1338,Lee_D
paper1338,Seung_H
paper1338,Socci_N
paper1339,Barber_D
paper1339,Sollich_P
paper133,Gelfand_J
paper133,Pearson_J
paper133,Peterson_R
paper133,Spence_C
paper133,Sullivan_W
paper1340,Vovk_V
paper1341,Vu_V
paper1342,Kwon_C
paper1342,Oh_J
paper1342,Xiong_Y
paper1343,Amari_S
paper1343,Yang_H
paper1344,Barber_D
paper1344,Bishop_C
paper1345,Barber_D
paper1345,Schottky_B
paper1346,Bengio_S
paper1346,Bengio_Y
paper1346,Isabelle_J
paper1346,Singer_Y
paper1347,Bishop_C
paper1347,Jaakkola_T
paper1347,Jordan_M
paper1347,Lawrence_N
paper1348,Blais_B
paper1348,Cooper_L
paper1348,Intrator_N
paper1348,Shouval_H
paper1349,Burger_M
paper1349,Graepel_T
paper1349,Obermayer_K
paper134,Keller_J
paper134,Miller_K
paper134,Stryker_M
paper1350,Cataltepe_Z
paper1350,Magdon-Ismail_M
paper1351,Cttien_S
paper1351,Mutz_D
paper1351,Stechert_A
paper1352,Cohen_W
paper1352,Schapire_R
paper1352,Singer_Y
paper1353,de-Freitas_J
paper1353,Gee_A
paper1353,Niranjan_M
paper1354,El-Yaniv_R
paper1354,Fine_S
paper1354,Tishby_N
paper1355,Bernier_O
paper1355,Feraud_R
paper1356,Frey_B
paper1356,MacKay_D
paper1357,Ghahramani_Z
paper1357,Hinton_G
paper1358,Bishop_C
paper1358,Goldberg_P
paper1358,Williams_C
paper1359,Grove_A
paper1359,Roth_D
paper135,Bower_J
paper135,Mead_C
paper135,Ryckebusch_S
paper1360,Hastie_T
paper1360,Tibshitani_R
paper1361,Buhmann_J
paper1361,Held_M
paper1362,Hofmann_R
paper1362,Tresp_V
paper1363,Buhmann_J
paper1363,Hofmann_T
paper1364,Horne_B
paper1364,Hush_D
paper1364,Lozano_F
paper1365,Hastie_T
paper1365,James_G
paper1366,Kiviluoto_K
paper1366,Oja_E
paper1367,Lewicki_M
paper1367,Sejnowski_T
paper1368,Lin_J
paper1369,Lozano-Perez_T
paper1369,Maron_O
paper136,Sejnowski_T
paper136,Stanton_P
paper1370,Marts_A
paper1371,Jordan_M
paper1371,Meila_M
paper1372,Metz_C
paper1373,Mineiro_P
paper1373,Movellan_J
paper1373,Williams_R
paper1374,Oh_J
paper1374,Seung_H
paper1375,Ratsaby_J
paper1376,Ring_M
paper1377,Roweis_S
paper1378,Atkeson_C
paper1378,Schaal_S
paper1378,Vijayahunar_S
paper1379,Scholkopf_B
paper1379,Simard_P
paper1379,Smola_A
paper1379,Vapnik_V
paper137,Hopfield_J
paper137,Li_Z
paper1380,Bengio_Y
paper1380,Schwenk_H
paper1381,Seung_H
paper1382,Sill_J
paper1383,Smyth_P
paper1383,Wolpert_D
paper1384,Palm_G
paper1384,Sommex_F
paper1385,Tenenbaum_J
paper1386,Hancock_E
paper1386,Wilson_R
paper1387,Yang_H
paper1388,Hirai_Y
paper1389,Liu_S
paper138,Bower_J
paper138,Nelson_M
paper138,Paulin_M
paper1390,DeWeerth_S
paper1390,Holleman_J
paper1390,Patel_G
paper1391,Hui_K
paper1391,Shi_B
paper1392,Kohlmorgen_J
paper1392,Muller_K
paper1392,Pawelzik_K
paper1393,Mineiro_P
paper1393,Movellan_J
paper1394,Rahim_M
paper1394,Saul_L
paper1395,Torkkola_K
paper1396,Rigoll_G
paper1396,Willett_D
paper1397,de-Bonet_J
paper1397,Viola_P
paper1398,Cross_A
paper1398,Hancock_E
paper1399,Freeman_W
paper1399,Viola_P
paper139,Alkon_D
paper139,Quek_F
paper139,Vogl_T
paper13,Brown_N
paper1400,Geiger_D
paper1400,Maloney_L
paper1400,Rudra_A
paper1401,Grunewald_A
paper1401,Neumann_H
paper1402,Henkel_R
paper1403,Lewicki_M
paper1403,Olshausen_B
paper1404,Lewis_M
paper1405,Kersten_D
paper1405,Liu_Z
paper1406,Mato_G
paper1406,Nadal_J
paper1406,Parga_N
paper1406,Turiel_A
paper1407,Lippman_A
paper1407,Vasconcelos_N
paper1408,Weiss_Y
paper1409,Baluja_S
paper140,Assad_C
paper140,Bower_J
paper140,Nelson_M
paper140,Rasnow_B
paper1410,de-Bonet_J
paper1410,Viola_P
paper1411,Cai_D
paper1411,Etienne-Cummings_R
paper1412,Harrison_R
paper1412,Koch_C
paper1413,Hornel_D
paper1414,Humphties_C
paper1414,Iragui_V
paper1414,Jung_T
paper1414,Lee_T
paper1414,Makeig_S
paper1414,McKeown_M
paper1414,Sejnowski_T
paper1415,Inbar_G
paper1415,Lange_D
paper1415,Pratt_H
paper1415,Siegelmann_H
paper1416,Lee_D
paper1416,Seung_H
paper1417,Ji_C
paper1417,Ma_S
paper1418,Marbach_P
paper1418,Mihatsch_O
paper1418,Schulte_M
paper1418,Tsitsiklis_J
paper1419,Brodley_C
paper1419,Cavazos_J
paper1419,Moss_E
paper1419,Precup_D
paper1419,Scheeff_D
paper1419,Stefanovic_D
paper1419,Utgoff_P
paper141,Miller_J
paper141,Zhang_J
paper1420,Neuneier_R
paper1421,Lin_M
paper1421,Miikkulainen_R
paper1421,Ryan_J
paper1422,Abu-Mostafa_Y
paper1422,Kasdan_H
paper1422,Sill_J
paper1422,Song_X
paper1423,Goodman_R
paper1423,Hawkins_J
paper1423,Spangler_R
paper1424,Dorffner_G
paper1424,Rappelsberger_P
paper1424,Sykacek_P
paper1424,Zeitlhofer_J
paper1425,Briegel_T
paper1425,Tresp_V
paper1426,Moteau_Y
paper1426,Timmerman_D
paper1426,Vandewalle_J
paper1426,Verrelst_H
paper1427,Williams_P
paper1428,Neuneier_R
paper1428,Zimmermann_H
paper1429,Andre_D
paper1429,Friedman_N
paper1429,Parr_R
paper142,Tanaka_S
paper1430,Atkeson_C
paper1431,Hansen_E
paper1432,Barto_A
paper1432,Monaco_J
paper1432,Ward_D
paper1433,Bourgine_P
paper1433,Munos_R
paper1434,Pareigis_S
paper1435,Parr_R
paper1435,Russell_S
paper1436,Precup_D
paper1436,Sutton_R
paper1437,Cohn_D
paper1437,Singh_S
paper1438,Szepesvfixi_C
paper1439,Nakashima_M
paper1439,Watanabe_A
paper1439,Yamaria_S
paper143,Baird_B
paper1440,Bhushan_N
paper1440,Shadmehr_R
paper1441,Chen_K
paper1441,Wang_D
paper1442,Becker_S
paper1442,Christianson_G
paper1443,Busey_T
paper1443,Cottrell_G
paper1443,Dailey_M
paper1444,Hamno_M
paper1444,Kawato_M
paper1444,Wolpert_D
paper1445,Love_B
paper1446,Liu_Z
paper1446,Weinshall_D
paper1447,Mozer_M
paper1448,Tenenbaum_J
paper1449,Abbott_L
paper1449,Song_S
paper144,Sereno_M
paper1450,Adorjan_P
paper1450,Obermayer_K
paper1451,Baraduc_P
paper1451,Burnod_Y
paper1451,Guigon_E
paper1452,Abbott_L
paper1452,Chance_F
paper1452,Nelson_S
paper1453,Chechik_G
paper1453,Meilijson_I
paper1453,Ruppin_E
paper1454,Deneve_S
paper1454,Latham_P
paper1454,Pouget_A
paper1455,Gat_I
paper1455,Tishby_N
paper1456,Courchesne_E
paper1456,Jung_T
paper1456,Makeig_S
paper1456,Sejnowski_T
paper1456,Townsend_J
paper1456,Westerfield_M
paper1457,Gerstner_W
paper1457,Kempter_R
paper1457,vanHemmen_J
